ID,Estado_de_la_desaparicion,Clasificacion_de_la_desaparicion,Fecha_de_la_desaparicion,Edad,Sexo,Pais,Ancestro,Estado_civil,Escolaridad,Pertenencia_grupal,Pais_de_desaparicion,Municio,Departamento,Contexto
176770,Desaparecido,Sin Información,2023-02-04T00:00:00.000,31,Hombre,Estados Unidos,Mestizo,Unión Libre,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176772,Aparecio Vivo,Sin Información,2023-02-06T00:00:00.000,14,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176773,Aparecio Muerto,Sin Información,2023-02-08T00:00:00.000,9,Mujer,Colombia,Sin Información,Sin Información,Educación inicial y educación preescolar,Ninguno,Colombia,Ibagué,Tolima,Desaparición
176776,Aparecio Vivo,Sin Información,2023-01-07T00:00:00.000,27,Mujer,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Comunidad LGBT,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176777,Aparecio Vivo,Sin Información,2023-02-08T00:00:00.000,22,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176779,Aparecio Vivo,Sin Información,2023-01-28T00:00:00.000,14,Mujer,Colombia,Blanco,Soltero (a),Educación básica primaria,Ninguno,Colombia,Dagua,Valle Del Cauca,Desaparición
176780,Desaparecido,Sin Información,2023-01-04T00:00:00.000,67,Hombre,Colombia,Sin Información,Soltero (a),Sin información,Sin información,Colombia,Lorica,Córdoba,Desaparición
176782,Desaparecido,Sin Información,2023-01-02T00:00:00.000,30,Hombre,Colombia,Sin Información,Soltero (a),Educación básica primaria,Ninguno,Colombia,Soledad,Atlántico,Desaparición
176783,Aparecio Vivo,Sin Información,2023-02-01T00:00:00.000,21,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Medellín,Antioquia,Desaparición
176786,Desaparecido,Sin Información,2023-02-06T00:00:00.000,86,Hombre,Colombia,Mestizo,Casado (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176788,Desaparecido,Sin Información,2023-02-04T00:00:00.000,38,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176791,Desaparecido,Sin Información,2023-02-03T00:00:00.000,48,Hombre,Colombia,Negro,Soltero (a),Sin información,Persona en condición de desplazamiento,Colombia,Pasto,Nariño,Desaparición
176793,Aparecio Vivo,Sin Información,2023-02-08T00:00:00.000,24,Hombre,Colombia,Sin Información,Soltero (a),Educación básica secundaria o secundaria baja,Discapacitados (as),Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176796,Aparecio Muerto,Sin Información,2023-02-06T00:00:00.000,22,Hombre,Colombia,Blanco,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Pereira,Risaralda,Desaparición
176798,Desaparecido,Sin Información,2023-02-09T00:00:00.000,45,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176799,Desaparecido,Sin Información,2023-02-06T00:00:00.000,28,Mujer,Venezuela,Mestizo,Soltero (a),Educación básica primaria,Otro,Colombia,Santa Marta,Magdalena,Desaparición
176800,Desaparecido,Sin Información,2023-01-14T00:00:00.000,37,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176801,Aparecio Vivo,Sin Información,2023-02-03T00:00:00.000,28,Hombre,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176802,Aparecio Vivo,Desaparición Presuntamente Forzada,2023-01-15T00:00:00.000,45,Hombre,Colombia,Mestizo,Unión Libre,Educación básica primaria,Ninguno,Colombia,Villavicencio,Meta,Desaparición
176804,Desaparecido,Sin Información,2023-02-02T00:00:00.000,29,Hombre,Colombia,Mestizo,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Pereira,Risaralda,Desaparición
176806,Desaparecido,Sin Información,2023-02-08T00:00:00.000,33,Hombre,Sin Información,Blanco,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Cali,Valle Del Cauca,Desaparición
176808,Desaparecido,Sin Información,2023-01-24T00:00:00.000,25,Hombre,Venezuela,Sin Información,Sin Información,Sin información,Sin información,Colombia,Cúcuta,Norte De Santander,Desaparición
176809,Aparecio Vivo,Sin Información,2023-02-07T00:00:00.000,65,Hombre,Sin Información,Blanco,Unión Libre,Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Cali,Valle Del Cauca,Desaparición
176810,Desaparecido,Sin Información,2023-02-06T00:00:00.000,14,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176811,Desaparecido,Sin Información,2023-02-09T00:00:00.000,29,Hombre,Colombia,Blanco,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176812,Desaparecido,Sin Información,2023-02-09T00:00:00.000,29,Hombre,Colombia,Mestizo,Unión Libre,Educación técnica profesional y tecnológica,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176813,Aparecio Vivo,Sin Información,2023-02-07T00:00:00.000,56,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
